Team #,Pick 1,Pick 2,Pick 3,Pick 4,Pick 5,Pick 6,Pick 7,Pick 8,Pick 9,Pick 10,Pick 11,Pick 12,Pick 13,Pick 14,Pick 15,Pick 16
Team 1,140725,132344,123205,113964,104252,93088,80980,68614,54571,40459,26350,13925,5611,1611,285,16
Team 2,129838,123970,118063,110943,103163,93885,84277,72311,59591,45826,30854,17359,7303,2197,396,24
Team 3,120304,116580,112463,107140,101418,94469,85809,76742,64199,50852,36058,21042,9470,2879,523,52
Team 4,104910,103525,102543,100191,96864,93661,87923,81853,72986,60883,45679,29164,14012,4705,1016,85
Team 5,89207,90626,90971,90951,91312,90699,89478,85426,80562,71695,58126,40162,21118,7649,1789,229
Team 6,84947,86140,86796,88329,88718,89006,88382,86229,82326,75368,63112,44550,24448,9141,2234,274
Team 7,75392,76302,78282,81013,82734,84470,86451,87546,86179,82696,73140,55630,32696,13600,3441,428
Team 8,64664,67553,69934,72636,75686,79257,82968,86329,88800,89500,84038,68482,43645,19931,5744,833
Team 9,54771,57769,60571,64047,67501,71621,77347,83525,89311,94054,95244,84780,58958,29546,9418,1537
Team 10,45172,47801,50613,54489,59032,63421,69156,76527,85626,95474,104327,103499,79902,44791,16846,3324
Team 11,35021,37435,40360,43259,47345,52574,59093,66463,77534,91605,109523,122041,108669,70185,31181,7712
Team 12,25091,26931,29831,32176,35850,40423,45462,53002,63486,78637,100923,133318,141648,111642,61811,19769
Team 13,8964,9940,10877,12212,13655,15935,18548,22497,27995,36184,50576,77244,129917,183696,205950,175810
Team 14,8087,8821,9791,10876,12332,14257,16519,19952,24975,32683,45676,70371,119337,178226,216439,211658
Team 15,6939,7597,8463,9662,10829,12575,14679,17562,22365,28903,40764,62886,107667,167687,222784,258638
Team 16,5968,6666,7237,8112,9309,10659,12928,15422,19494,25181,35610,55547,95599,152514,220143,319611
