Team #,Pick 1,Pick 2,Pick 3,Pick 4,Pick 5,Pick 6,Pick 7,Pick 8,Pick 9,Pick 10,Pick 11,Pick 12,Pick 13,Pick 14,Pick 15,Pick 16
Team 1,140133,131442,123101,114104,491220,0,0,0,0,0,0,0,0,0,0,0
Team 2,129842,124117,119087,110381,289351,227222,0,0,0,0,0,0,0,0,0,0
Team 3,120335,116393,111620,107157,146841,299906,97748,0,0,0,0,0,0,0,0,0
Team 4,104335,103757,102679,99879,59368,263434,226318,40230,0,0,0,0,0,0,0,0
Team 5,90037,90759,90872,91065,13220,160044,303410,144914,15679,0,0,0,0,0,0,0
Team 6,85165,85852,87335,88279,0,49394,253679,267448,77502,5346,0,0,0,0,0,0
Team 7,74841,76998,78804,81063,0,0,118845,327331,204507,36025,1586,0,0,0,0,0
Team 8,65007,67843,70020,72787,0,0,0,220077,354377,135012,14489,388,0,0,0,0
Team 9,54899,57867,60260,64055,0,0,0,0,347935,333679,76310,4923,72,0,0,0
Team 10,45220,47536,50364,54610,0,0,0,0,0,489938,274836,36155,1335,6,0,0
Team 11,35150,37320,40125,43556,0,0,0,0,0,0,632779,196608,14191,270,1,0
Team 12,24991,26892,29257,32274,0,0,0,0,0,0,0,761926,119957,4653,49,1
Team 13,9077,9786,10783,12384,0,0,0,0,0,0,0,0,864445,91365,2149,11
Team 14,8033,8933,9630,10813,0,0,0,0,0,0,0,0,0,903706,58273,612
Team 15,7018,7815,8681,9533,0,0,0,0,0,0,0,0,0,0,939528,27425
Team 16,5917,6690,7382,8060,0,0,0,0,0,0,0,0,0,0,0,971951
